read,write,map,correspondences,1st_write,1st_same,1st_different,1st_same_len,1st_different_len,1st_congruency,most_congruency_write,most_congruency_same,most_congruency_different,most_congruency_same_len,most_congruency_different_len,most_congruency_congruency
a,3,䋪 啊娿婀屙疴锕𠥍𡹣𨵌,"[{'3': {'same': ['啊', '锕'], 'different': ['婀', '䋪', '娿', '屙', '疴', '𠥍', '𡹣', '𨵌']}}]",3,"['啊', '锕']","['婀', '䋪', '娿', '屙', '疴', '𠥍', '𡹣', '𨵌']",2,8,0.2,3,"['啊', '锕']","['婀', '䋪', '娿', '屙', '疴', '𠥍', '𡹣', '𨵌']",2,8,0.2
ai,994,僾 嗳嫒爱暧瑷𫉁𰾭叆,"[{'994': {'same': ['爱', '暧', '嗳', '僾', '嫒', '瑷', '𫉁', '𰾭', '叆'], 'different': []}}]",994,"['爱', '暧', '嗳', '僾', '嫒', '瑷', '𫉁', '𰾭', '叆']",[],9,0,1.0,994,"['爱', '暧', '嗳', '僾', '嫒', '瑷', '𫉁', '𰾭', '叆']",[],9,0,1.0
an,995,㝧 䀂䅁䢿侒咹姲安峖按案桉氨洝胺荌铵鞌鞍頞𫛩𡪙𦛅𧵨𨴣䯃,"[{'995': {'same': ['安', '案', '按', '胺', '氨', '鞍', '铵', '桉', '䀂', '䅁', '䢿', '侒', '峖', '洝', '荌', '鞌', '𡪙'], 'different': ['咹', '㝧', '姲', '頞', '𫛩', '𦛅', '𧵨', '𨴣', '䯃']}}]",995,"['安', '案', '按', '胺', '氨', '鞍', '铵', '桉', '䀂', '䅁', '䢿', '侒', '峖', '洝', '荌', '鞌', '𡪙']","['咹', '㝧', '姲', '頞', '𫛩', '𦛅', '𧵨', '𨴣', '䯃']",17,9,0.6538461538461539,995,"['安', '案', '按', '胺', '氨', '鞍', '铵', '桉', '䀂', '䅁', '䢿', '侒', '峖', '洝', '荌', '鞌', '𡪙']","['咹', '㝧', '姲', '頞', '𫛩', '𦛅', '𧵨', '𨴣', '䯃']",17,9,0.6538461538461539
ang,1528,㼜 㿮䇦䒋䬬佒央姎岟怏抰映柍殃泱炴盎眏秧紻胦軮𫓭雵鞅𩧫鸯𣃝𧲱𧵌𩲴𪎞𪓛𪚻,"[{'1528': {'same': ['盎', '㼜', '䇦'], 'different': ['映', '央', '殃', '鸯', '秧', '怏', '泱', '㿮', '䒋', '䬬', '佒', '姎', '岟', '抰', '柍', '炴', '眏', '紻', '胦', '軮', '𫓭', '雵', '鞅', '𩧫', '𣃝', '𧲱', '𧵌', '𩲴', '𪎞', '𪓛', '𪚻']}}]",1528,"['盎', '㼜', '䇦']","['映', '央', '殃', '鸯', '秧', '怏', '泱', '㿮', '䒋', '䬬', '佒', '姎', '岟', '抰', '柍', '炴', '眏', '紻', '胦', '軮', '𫓭', '雵', '鞅', '𩧫', '𣃝', '𧲱', '𧵌', '𩲴', '𪎞', '𪓛', '𪚻']",3,31,0.08823529411764706,1528,"['盎', '㼜', '䇦']","['映', '央', '殃', '鸯', '秧', '怏', '泱', '㿮', '䒋', '䬬', '佒', '姎', '岟', '抰', '柍', '炴', '眏', '紻', '胦', '軮', '𫓭', '雵', '鞅', '𩧫', '𣃝', '𧲱', '𧵌', '𩲴', '𪎞', '𪓛', '𪚻']",3,31,0.08823529411764706
ao,966,傲 厫嗷廒敖滶熬獒璈聱謷遨鏊骜鳌鼇𨫼,"[{'966': {'same': ['傲', '熬', '嗷', '敖', '遨', '獒', '鏊', '鳌', '骜', '厫', '廒', '滶', '璈', '聱', '謷', '鼇'], 'different': ['𨫼']}}]",966,"['傲', '熬', '嗷', '敖', '遨', '獒', '鏊', '鳌', '骜', '厫', '廒', '滶', '璈', '聱', '謷', '鼇']",['𨫼'],16,1,0.9411764705882353,966,"['傲', '熬', '嗷', '敖', '遨', '獒', '鏊', '鳌', '骜', '厫', '廒', '滶', '璈', '聱', '謷', '鼇']",['𨫼'],16,1,0.9411764705882353
ba,996,吧 巴帊弝把杷爬爸琶疤粑耙芭葩豝钯靶,"[{'996': {'same': ['吧', '把', '爸', '巴', '芭', '疤', '靶', '耙', '钯', '粑', '弝', '豝'], 'different': ['爬', '琶', '葩', '帊', '杷']}}]",996,"['吧', '把', '爸', '巴', '芭', '疤', '靶', '耙', '钯', '粑', '弝', '豝']","['爬', '琶', '葩', '帊', '杷']",12,5,0.7058823529411765,996,"['吧', '把', '爸', '巴', '芭', '疤', '靶', '耙', '钯', '粑', '弝', '豝']","['爬', '琶', '葩', '帊', '杷']",12,5,0.7058823529411765
bai,1002,㓦 㢶㪶㹮㼣佰咟帞弼栢洦瓸絔袹貊銆陌𧻙𩢷,"[{'1002': {'same': ['佰', '㓦', '栢', '瓸', '絔'], 'different': ['陌', '弼', '㢶', '㪶', '㹮', '㼣', '咟', '帞', '洦', '袹', '貊', '銆', '𧻙', '𩢷']}}]",1002,"['佰', '㓦', '栢', '瓸', '絔']","['陌', '弼', '㢶', '㪶', '㹮', '㼣', '咟', '帞', '洦', '袹', '貊', '銆', '𧻙', '𩢷']",5,14,0.2631578947368421,1002,"['佰', '㓦', '栢', '瓸', '絔']","['陌', '弼', '㢶', '㪶', '㹮', '㼣', '咟', '帞', '洦', '袹', '貊', '銆', '𧻙', '𩢷']",5,14,0.2631578947368421
ban,1089,㪵 䉽䬳伴冸判半叛姅怑拌柈泮牉畔秚绊胖跘鉡靽頖𦚓𧺾𨒃𩢔,"[{'1089': {'same': ['半', '伴', '绊', '拌', '㪵', '䉽', '䬳', '姅', '怑', '柈', '秚', '鉡', '靽', '𩢔'], 'different': ['判', '胖', '叛', '畔', '泮', '冸', '牉', '跘', '頖', '𦚓', '𧺾', '𨒃']}}]",1089,"['半', '伴', '绊', '拌', '㪵', '䉽', '䬳', '姅', '怑', '柈', '秚', '鉡', '靽', '𩢔']","['判', '胖', '叛', '畔', '泮', '冸', '牉', '跘', '頖', '𦚓', '𧺾', '𨒃']",14,12,0.5384615384615384,1089,"['半', '伴', '绊', '拌', '㪵', '䉽', '䬳', '姅', '怑', '柈', '秚', '鉡', '靽', '𩢔']","['判', '胖', '叛', '畔', '泮', '冸', '牉', '跘', '頖', '𦚓', '𧺾', '𨒃']",14,12,0.5384615384615384
bang,1081,㥬 㿶䄘䅭䒍䠙䧛䨦䩷傍嗙塝嫎嵭徬搒榜滂牓磅篣𫄰耪膀艕蒡螃覫谤镑騯髈鳑𠗵𢄎𢐊𣂆𣯊𣯟𤚰𤧭𤹔𥉣𥻭𦗍𧤞𨍩𨜷𨢐𩡕𪹚𫐼𫜡𬌿𬳣𬴅𭥁𮖧𮤂𰆊𱂜𱱼𲁙,"[{'1081': {'same': ['磅', '膀', '镑', '榜', '傍', '谤', '髈', '蒡', '㿶', '䧛', '䩷', '塝', '搒', '牓', '𫄰', '艕', '𢄎', '𤚰', '𨢐'], 'different': ['螃', '嗙', '滂', '㥬', '䄘', '䅭', '䒍', '䠙', '䨦', '嫎', '嵭', '徬', '篣', '耪', '覫', '騯', '鳑', '𠗵', '𢐊', '𣂆', '𣯊', '𣯟', '𤧭', '𤹔', '𥉣', '𥻭', '𦗍', '𧤞', '𨍩', '𨜷', '𩡕', '𪹚', '𫐼', '𫜡', '𬌿', '𬳣', '𬴅', '𭥁', '𮖧', '𮤂', '𰆊', '𱂜', '𱱼', '𲁙']}}]",1081,"['磅', '膀', '镑', '榜', '傍', '谤', '髈', '蒡', '㿶', '䧛', '䩷', '塝', '搒', '牓', '𫄰', '艕', '𢄎', '𤚰', '𨢐']","['螃', '嗙', '滂', '㥬', '䄘', '䅭', '䒍', '䠙', '䨦', '嫎', '嵭', '徬', '篣', '耪', '覫', '騯', '鳑', '𠗵', '𢐊', '𣂆', '𣯊', '𣯟', '𤧭', '𤹔', '𥉣', '𥻭', '𦗍', '𧤞', '𨍩', '𨜷', '𩡕', '𪹚', '𫐼', '𫜡', '𬌿', '𬳣', '𬴅', '𭥁', '𮖧', '𮤂', '𰆊', '𱂜', '𱱼', '𲁙']",19,44,0.30158730158730157,1081,"['磅', '膀', '镑', '榜', '傍', '谤', '髈', '蒡', '㿶', '䧛', '䩷', '塝', '搒', '牓', '𫄰', '艕', '𢄎', '𤚰', '𨢐']","['螃', '嗙', '滂', '㥬', '䄘', '䅭', '䒍', '䠙', '䨦', '嫎', '嵭', '徬', '篣', '耪', '覫', '騯', '鳑', '𠗵', '𢐊', '𣂆', '𣯊', '𣯟', '𤧭', '𤹔', '𥉣', '𥻭', '𦗍', '𧤞', '𨍩', '𨜷', '𩡕', '𪹚', '𫐼', '𫜡', '𬌿', '𬳣', '𬴅', '𭥁', '𮖧', '𮤂', '𰆊', '𱂜', '𱱼', '𲁙']",19,44,0.30158730158730157
bao,1068,㨐 㷛䭋䳰保堡媬椺湺煲緥葆褒褓襃賲𩭼,"[{'1068': {'same': ['保', '堡', '褒', '煲', '葆', '褓', '䭋', '䳰', '媬', '緥', '襃', '賲', '𩭼'], 'different': ['㨐', '㷛', '椺', '湺']}}]",1068,"['保', '堡', '褒', '煲', '葆', '褓', '䭋', '䳰', '媬', '緥', '襃', '賲', '𩭼']","['㨐', '㷛', '椺', '湺']",13,4,0.7647058823529411,1068,"['保', '堡', '褒', '煲', '葆', '褓', '䭋', '䳰', '媬', '緥', '襃', '賲', '𩭼']","['㨐', '㷛', '椺', '湺']",13,4,0.7647058823529411
